PFOA,PFOS,PFHxS,PFBS,Mass,Voltage,Resistance,Efficiency,Energy Comsumption,Weight Loss,Efficiency_transformed
1,0,0,0,300,40,3.5,0.23836495154906506,1.5996400000000002,0.09666666666666666,0.27228777575122953
1,0,0,0,296,40,3.6,0.3901323870615531,1.6215304054054056,0.11486486486486487,0.49451337169881715
1,0,0,0,300,40,3.2,0.4258905418315818,1.59975,0.11,0.5549352054272675
1,0,0,0,300,60,3.5,0.46690323461171007,3.59964,0.14,0.6290523208475076
1,0,0,0,300,60,4.0,0.6041353896547018,3.5997500000000002,0.13,0.9266830167277287
1,0,0,0,300,60,3.6,0.6850006824075338,3.59964,0.15333333333333332,1.1551848033573635
1,0,0,0,300,80,3.5,0.829261635048451,6.39996,0.13666666666666666,1.7676229178361385
1,0,0,0,301,80,3.6,0.8742322915244983,6.373465116279069,0.18604651162790697,2.0733186490989186
1,0,0,0,300,80,3.2,0.9325098949092397,6.399,0.21666666666666667,2.6957742682802097
1,0,0,0,300,80,3.5,0.576020199263,5.86639,0.16,0.8580694622976126
1,0,0,0,299,80,3.0,0.9150402620444931,6.421153846153846,0.1939799331103679,2.4655777940508212
1,0,0,0,300,100,3.5,0.9987102497611574,9.90975,0.20666666666666667,6.653305917310734
1,0,0,0,300,100,3.4,0.9990105090760202,9.99996,0.23333333333333334,6.918318954673183
1,0,0,0,300,100,3.7,0.999344888767572,9.999509999999999,0.25,7.330703989788948
1,0,0,0,300,100,2.8,0.9997406851371639,9.99975,0.27,8.257463691678982
1,0,0,0,299,100,3.3,0.9991538146581138,10.03319397993311,0.23745819397993312,7.074770960335409
1,0,0,0,300,100,3.2,0.9986283608571039,9.99919,0.21,6.591748070600472
1,0,0,0,303,100,3.3,0.9989286201719666,9.900633663366335,0.2376237623762376,6.838806968990191
1,0,0,0,300,100,3.5,0.9995973795550703,9.999509999999999,0.26,7.8175137800826136
1,0,0,0,297,110,3.3,0.9992971202402074,12.221969696969698,0.22895622895622897,7.260323296766879
1,0,0,0,300,120,3.5,0.9992698239388563,14.39975,0.24666666666666667,7.222223503720334
1,0,0,0,302,120,3.3,0.9994608980483144,14.303205298013244,0.24834437086092714,7.525604000311835
1,0,0,0,300,120,3.2,0.9994063054456122,14.39991,0.27,7.42914390469303
1,0,0,0,300,150,3.3,0.9997202129111505,22.49975,0.25666666666666665,8.1814780668697
1,0,0,0,305,150,3.6,0.9996451480824349,22.12995737704918,0.2786885245901639,7.943807171059704
1,0,0,0,301,150,3.5,0.9996178517810835,22.423006644518274,0.2823920265780731,7.869699400196174
1,0,0,0,301,150,3.4,0.9996929166097994,22.423813953488374,0.2857142857142857,8.08838796150465
0,1,0,0,300,40,3.5,0.06563686208350916,1.5996400000000002,0.09,0.06789011661985415
0,1,0,0,300,60,3.5,0.4262969211303248,3.5997500000000002,0.12333333333333334,0.5556432989563089
0,1,0,0,302,60,3.5,0.42265921552087726,3.5756721854304634,0.12251655629139073,0.549322570737403
0,1,0,0,300,60,3.2,0.4550295234078448,3.59991,0.13666666666666666,0.6070236553417948
0,1,0,0,297,80,3.3,0.8731547870097005,6.463636363636364,0.1717171717171717,2.0647877233269925
0,1,0,0,300,80,3.5,0.8478490088570223,6.39879,0.15666666666666668,1.8828818818390063
0,1,0,0,300,80,3.4,0.8654048924504428,6.39975,0.18333333333333332,2.005484203074067
0,1,0,0,302,100,3.5,0.9764339940953184,9.933288079470199,0.18543046357615894,3.747949990697667
0,1,0,0,298,100,3.1,0.9781737663433151,10.066862416107384,0.17785234899328858,3.8246426081035048
0,1,0,0,300,100,3.2,0.9836039645719105,9.99856,0.20333333333333334,4.110715654575648
0,1,0,0,299,120,3.4,0.9978648249683678,14.447668896321069,0.19063545150501673,6.149206185287196
0,1,0,0,300,120,3.7,0.99869780683256,14.398790000000002,0.24333333333333335,6.643704616176337
0,1,0,0,301,120,3.7,0.9980704344158582,14.351162790697675,0.22259136212624583,6.2504598690866375
0,1,0,0,302,120,3.5,0.9982285955293124,14.304,0.23841059602649006,6.335981996252375
0,1,0,0,300,150,3.4,0.9990668494306201,22.49919,0.24333333333333335,6.976942916527703
0,1,0,0,300,150,3.7,0.998956136651202,22.499509999999997,0.26,6.864825732065366
0,1,0,0,300,150,3.3,0.9994253479544496,22.498790000000003,0.27,7.461744098328163
0,0,0,1,297,40,3.6,0.0589765100671141,1.615909090909091,0.1111111111111111,0.06078717591144468
0,0,0,1,300,60,3.5,0.6390939597315437,3.5991899999999997,0.12666666666666668,1.0191376280208613
0,0,0,1,300,60,3.5,0.6285234899328859,3.5995100000000004,0.11,0.9902696440988529
0,0,0,1,302,60,3.2,0.6543624161073825,3.5760695364238404,0.09602649006622517,1.0623644953825646
0,0,0,1,300,80,3.4,0.9027684563758389,6.399640000000001,0.12333333333333334,2.3306600869948606
0,0,0,1,300,80,3.7,0.9029362416107382,6.398560000000001,0.15333333333333332,2.3323872031231567
0,0,0,1,299,80,3.7,0.8921140939597315,6.420401337792643,0.15719063545150502,2.2266810265527246
0,0,0,1,300,100,3.1,0.9789429530201342,9.99831,0.14,3.8605199539975183
0,0,0,1,200,100,3.3,0.9775167785234898,14.999040000000003,0.27,3.794985915630869
0,0,0,1,298,100,3.2,0.9815436241610738,10.065664429530202,0.1644295302013423,3.9923453400851594
0,0,0,1,300,120,3.7,0.9986493288590604,14.39964,0.17,6.607152928256552
0,0,0,1,300,120,4.0,0.9988926174496644,14.398790000000002,0.17333333333333334,6.805755207997093
